13:09:38.750 -> Humidity: 35.00 %, Temp: 26.20 Celsius
13:10:52.921 -> Humidity: 32.20 %, Temp: 25.90 Celsius
13:10:54.954 -> Humidity: 32.20 %, Temp: 25.90 Celsius
13:10:56.942 -> Humidity: 32.20 %, Temp: 25.90 Celsius
13:10:58.933 -> Humidity: 32.10 %, Temp: 25.90 Celsius
13:11:00.961 -> Humidity: 32.10 %, Temp: 25.90 Celsius
13:11:02.959 -> Humidity: 32.10 %, Temp: 25.90 Celsius
13:11:04.944 -> Humidity: 32.10 %, Temp: 25.90 Celsius
13:11:06.977 -> Humidity: 32.10 %, Temp: 25.90 Celsius
13:11:08.971 -> Humidity: 32.00 %, Temp: 25.80 Celsius
13:11:10.970 -> Humidity: 32.00 %, Temp: 25.80 Celsius
13:11:12.968 -> Humidity: 32.10 %, Temp: 25.80 Celsius
13:11:15.002 -> Humidity: 32.10 %, Temp: 25.80 Celsius
13:11:16.997 -> Humidity: 32.10 %, Temp: 25.80 Celsius
13:11:18.989 -> Humidity: 32.10 %, Temp: 25.80 Celsius
13:11:21.010 -> Humidity: 32.10 %, Temp: 25.80 Celsius
13:11:22.997 -> Humidity: 32.10 %, Temp: 25.80 Celsius
13:11:25.025 -> Humidity: 32.00 %, Temp: 25.70 Celsius
13:11:27.016 -> Humidity: 32.10 %, Temp: 25.70 Celsius
13:11:29.005 -> Humidity: 32.10 %, Temp: 25.70 Celsius
13:11:31.032 -> Humidity: 32.20 %, Temp: 25.70 Celsius
13:11:33.023 -> Humidity: 32.30 %, Temp: 25.70 Celsius
13:11:35.038 -> Humidity: 32.30 %, Temp: 25.70 Celsius
13:11:37.026 -> Humidity: 32.30 %, Temp: 25.70 Celsius
13:11:39.054 -> Humidity: 32.20 %, Temp: 25.70 Celsius
13:11:41.040 -> Humidity: 32.20 %, Temp: 25.70 Celsius
13:11:43.070 -> Humidity: 32.10 %, Temp: 25.60 Celsius
13:11:45.060 -> Humidity: 32.20 %, Temp: 25.60 Celsius
13:11:47.048 -> Humidity: 32.50 %, Temp: 25.60 Celsius
13:11:49.071 -> Humidity: 32.50 %, Temp: 25.60 Celsius
13:11:51.062 -> Humidity: 32.50 %, Temp: 25.60 Celsius
13:11:53.090 -> Humidity: 32.40 %, Temp: 25.60 Celsius
13:11:55.082 -> Humidity: 32.40 %, Temp: 25.60 Celsius
13:11:57.073 -> Humidity: 32.40 %, Temp: 25.60 Celsius
13:11:59.099 -> Humidity: 32.40 %, Temp: 25.60 Celsius
13:12:01.093 -> Humidity: 32.40 %, Temp: 25.60 Celsius
13:12:03.122 -> Humidity: 32.40 %, Temp: 25.60 Celsius
13:12:05.114 -> Humidity: 32.40 %, Temp: 25.60 Celsius
13:12:07.105 -> Humidity: 32.30 %, Temp: 25.50 Celsius
13:12:09.126 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:11.115 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:13.141 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:15.130 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:17.158 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:19.159 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:21.151 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:23.146 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:25.170 -> Humidity: 32.40 %, Temp: 25.50 Celsius
13:12:27.160 -> Humidity: 32.40 %, Temp: 25.40 Celsius
13:12:29.153 -> Humidity: 32.40 %, Temp: 25.40 Celsius
13:12:31.177 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:33.171 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:35.194 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:37.195 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:39.190 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:41.186 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:43.215 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:45.208 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:47.229 -> Humidity: 32.50 %, Temp: 25.40 Celsius
13:12:49.226 -> Humidity: 32.60 %, Temp: 25.40 Celsius
13:12:51.215 -> Humidity: 32.60 %, Temp: 25.40 Celsius
13:12:53.237 -> Humidity: 32.60 %, Temp: 25.40 Celsius
13:12:55.232 -> Humidity: 32.60 %, Temp: 25.40 Celsius
13:12:57.224 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:12:59.250 -> Humidity: 32.60 %, Temp: 25.40 Celsius
13:13:01.238 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:03.267 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:05.252 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:07.273 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:09.290 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:11.273 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:13.269 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:15.298 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:17.296 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:19.295 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:21.312 -> Humidity: 32.60 %, Temp: 25.30 Celsius
13:13:23.299 -> Humidity: 33.30 %, Temp: 25.30 Celsius
13:13:25.323 -> Humidity: 33.30 %, Temp: 25.30 Celsius
13:13:27.332 -> Humidity: 33.10 %, Temp: 25.30 Celsius
13:13:29.319 -> Humidity: 33.00 %, Temp: 25.30 Celsius
13:13:31.343 -> Humidity: 33.00 %, Temp: 25.30 Celsius
13:13:33.328 -> Humidity: 32.90 %, Temp: 25.30 Celsius
13:13:35.347 -> Humidity: 32.90 %, Temp: 25.30 Celsius
13:13:37.344 -> Humidity: 32.90 %, Temp: 25.30 Celsius
13:13:39.341 -> Humidity: 32.80 %, Temp: 25.30 Celsius
13:13:41.367 -> Humidity: 32.80 %, Temp: 25.30 Celsius
13:13:43.363 -> Humidity: 32.70 %, Temp: 25.20 Celsius
13:13:45.351 -> Humidity: 32.70 %, Temp: 25.20 Celsius
13:13:47.372 -> Humidity: 32.70 %, Temp: 25.20 Celsius
13:13:49.362 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:13:51.384 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:13:53.402 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:13:55.392 -> Humidity: 32.70 %, Temp: 25.20 Celsius
13:13:57.386 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:13:59.419 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:01.413 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:03.408 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:05.414 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:07.407 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:09.441 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:11.429 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:13.442 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:15.446 -> Humidity: 32.70 %, Temp: 25.10 Celsius
13:14:17.466 -> Humidity: 32.80 %, Temp: 25.20 Celsius
13:14:19.464 -> Humidity: 32.70 %, Temp: 25.10 Celsius
13:14:21.454 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:23.477 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:25.466 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:27.486 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:29.480 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:31.497 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:33.470 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:35.490 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:37.496 -> Humidity: 32.80 %, Temp: 25.10 Celsius
13:14:39.496 -> Humidity: 32.90 %, Temp: 25.10 Celsius
13:14:41.524 -> Humidity: 32.90 %, Temp: 25.10 Celsius
13:14:43.523 -> Humidity: 32.90 %, Temp: 25.10 Celsius
13:14:45.512 -> Humidity: 32.90 %, Temp: 25.10 Celsius
13:14:47.538 -> Humidity: 32.90 %, Temp: 25.10 Celsius
13:14:49.530 -> Humidity: 32.90 %, Temp: 25.10 Celsius
13:14:51.529 -> Humidity: 32.90 %, Temp: 25.10 Celsius
13:14:53.542 -> Humidity: 32.90 %, Temp: 25.10 Celsius
